time,force
0.16555571881725487,259.98873821289817
0.16655571881725487,261.3295799782117
0.16755571881725487,262.65001810080975
0.16855571881725487,263.94914898136625
0.16955571881725487,265.2261073463575
0.17055571881725487,266.4800700768559
0.17155571881725487,267.7102598822307
0.17255571881725487,268.9159488004422
0.17355571881725487,270.09646150708807
0.17455571881725487,271.251178415921
0.17555571881725487,272.3795385542082
0.17655571881725488,273.4810421970651
0.17755571881725488,274.5552532457019
0.17855571881725488,275.60180133546345
0.17955571881725488,276.6203836605113
0.18055571881725488,277.6107665031344
0.18155571881725488,278.5727864568111
0.18255571881725488,279.5063513334149
0.18355571881725488,280.411440746271
0.18455571881725488,281.2881063622198
0.18555571881725488,282.1364718172389
0.18655571881725488,282.95673229178135
0.18755571881725489,283.74915374356874
0.18855571881725489,284.51407179719365
0.1895557188172549,285.25189029159924
0.1905557188172549,285.96307948826035
0.1915557188172549,286.6481739445768
0.1925557188172549,287.30777005887035
0.1935557188172549,287.94252329507196
0.1945557188172549,288.5531450970487
0.1955557188172549,289.14039950427076
0.1965557188172549,289.7050994822922
0.1975557188172549,290.2481029832848
0.1985557188172549,290.77030875351215
0.1995557188172549,291.2726519063155
0.2005557188172549,291.7560992807656
0.2015557188172549,292.2216446076066
0.2025557188172549,292.6703035055608
0.2035557188172549,293.10310833239794
0.2045557188172549,293.5211029163523
0.2055557188172549,293.9253371945696
0.2065557188172549,294.3168617862402
0.2075557188172549,294.69672252887676
0.2085557188172549,295.06595500686467
0.2095557188172549,295.42557910194546
0.2105557188172549,295.77659359559794
0.2115557188172549,296.1199708535276
0.2125557188172549,296.4566516224085
0.2135557188172549,296.78753996888486
0.2145557188172549,297.11349839050746
0.2155557188172549,297.43534312771806
0.2165557188172549,297.75383970528196
0.2175557188172549,298.0696987307539
0.2185557188172549,298.38357197642443
0.2195557188172549,298.6960487700623
0.22055571881725491,299.0076527183648
0.22155571881725492,299.31883878552355
0.22255571881725492,299.6299907476659
0.22355571881725492,299.94141904218185
0.22455571881725492,300.2533590290395
0.22555571881725492,300.565969679238
0.22655571881725492,300.87933270345434
0.22755571881725492,301.1934521318402
0.22855571881725492,301.50825435370916
0.22955571881725492,301.82358862363736
0.23055571881725492,302.13922803822635
0.23155571881725492,302.4548709855061
0.23255571881725493,302.7701430666949
0.23355571881725493,303.0845994877305
0.23455571881725493,303.3977279157769
0.23555571881725493,303.7089517936769
0.23655571881725493,304.0176341031637
0.23755571881725493,304.32308156549954
0.23855571881725493,304.6245492661855
0.23955571881725493,304.92124568836056
0.24055571881725493,305.2123381375902
0.24155571881725493,305.49695853888187
0.24255571881725493,305.77420958502034
0.24355571881725493,306.04317121359173
0.24455571881725494,306.3029073884722
0.24555571881725494,306.5524731600311
0.24655571881725494,306.79092197687504
0.24755571881725494,307.0173132205999
0.24855571881725494,307.23071993376357
0.24955571881725494,307.4302367101235
0.2505557188172549,307.614987715134
0.2515557188172549,307.78413480364094
0.2525557188172549,307.93688570091757
0.2535557188172549,308.072502212296
0.2545557188172549,308.19030842598914
0.2555557188172549,308.28969887307574
0.2565557188172549,308.3701466080945
0.2575557188172549,308.43121117329144
